name,address,arrondissement,code_insee,annee_scolaire,type,lat,lng
ALESIA (190) MAT,190 RUE D'ALESIA,14ème Ardt,75114,2025-2026,Maternelle,48.83256626226925,2.3126541009177255
BALEINE (5) MAT,5 IMPASSE DE LA BALEINE,11ème Ardt,75111,2025-2026,Maternelle,48.867205520438795,2.3777540791270133
MARAICHERS (31) MAT,31 RUE DES MARAICHERS,20ème Ardt,75120,2025-2026,Maternelle,48.850975297793454,2.407181998910859
CEPRE (13) MAT,13 RUE CEPRE,15ème Ardt,75115,2025-2026,Maternelle,48.846624363452094,2.303604368736968
EIDERS (5) MAT,5 ALLEE DES EIDERS,19ème Ardt,75119,2025-2026,Maternelle,48.89429590404228,2.379171396905241
GLACIERE (100) MAT,100 RUE DE LA GLACIERE,13ème Ardt,75113,2025-2026,Maternelle,48.829792234688384,2.3429107032425702
GUSTAVE DORE (3) MAT,3 RUE GUSTAVE DORE,17ème Ardt,75117,2025-2026,Maternelle,48.886244964050015,2.3030123575132366
GAMBETTA (29) MAT,29 AVENUE GAMBETTA,20ème Ardt,75120,2025-2026,Maternelle,48.86409376538629,2.3918273371242567
RECOLLETS (23) MAT,23 PASSAGE DES RECOLLETS,10ème Ardt,75110,2025-2026,Maternelle,48.87458896279983,2.3606602751767336
ANTOINE CHANTIN (15) MAT,15 RUE ANTOINE CHANTIN,14ème Ardt,75114,2025-2026,Maternelle,48.827116023249914,2.321911153160345
RUISSEAU (6) MAT,6 RUE DU RUISSEAU,18ème Ardt,75118,2025-2026,Maternelle,48.891715709081886,2.3398615476756537
FONTARABIE (12) MAT,12 RUE DE FONTARABIE,20ème Ardt,75120,2025-2026,Maternelle,48.85752136244199,2.4005116407946545
CONVENTION (78) POLY,78 RUE DE LA CONVENTION,15ème Ardt,75115,2025-2026,Polyvalent,48.84239912308548,2.2847863656369185
PATAY (20) MAT,20 RUE DE PATAY,13ème Ardt,75113,2025-2026,Maternelle,48.82499118863887,2.3756651937327735
CENDRIERS (20) MAT,20 RUE DES CENDRIERS,20ème Ardt,75120,2025-2026,Maternelle,48.86553823798571,2.3868861755356465
REUILLY (59) MAT,59 RUE DE REUILLY,12ème Ardt,75112,2025-2026,Maternelle,48.84567811393347,2.3886864786274575
THEODORE DECK (2) MAT,2 RUE THEODORE DECK,15ème Ardt,75115,2025-2026,Maternelle,48.83766552711036,2.29072331374383
DEPARTEMENT (51) MAT,51 RUE DU DEPARTEMENT,18ème Ardt,75118,2025-2026,Maternelle,48.88647962509409,2.361872957417844
SADI LECOINTE (8) MAT,8 RUE SADI LECOINTE,19ème Ardt,75119,2025-2026,Maternelle,48.88035393950241,2.3738821856589865
VIOLET (38) MAT,38 RUE VIOLET,15ème Ardt,75115,2025-2026,Maternelle,48.84750408293091,2.2928549748661577
WURTZ (16) MAT,16 RUE WURTZ,13ème Ardt,75113,2025-2026,Maternelle,48.82693192147904,2.344618527667761
SEXTIUS MICHEL (22) MAT,22 RUE SEXTIUS MICHEL,15ème Ardt,75115,2025-2026,Maternelle,48.850117135338394,2.2884111928041673
COURONNES (94) MAT,94 RUE DES COURONNES,20ème Ardt,75120,2025-2026,Maternelle,48.870420609539615,2.3876725121646776
ANTOINE CHANTIN (22) MAT,22 RUE ANTOINE CHANTIN,14ème Ardt,75114,2025-2026,Maternelle,48.827282456211165,2.322533613806645
GUSTAVE ROUANET (1) MAT,1 RUE GUSTAVE ROUANET,18ème Ardt,75118,2025-2026,Maternelle,48.89630661579061,2.341541508231377
LONGUES RAIES (29) MAT,29 RUE DES LONGUES RAIES,13ème Ardt,75113,2025-2026,Maternelle,48.82117989869816,2.34765643185286
BARBANEGRE (8) MAT,8 RUE BARBANEGRE,19ème Ardt,75119,2025-2026,Maternelle,48.892313622547164,2.3833256532117324
MADEMOISELLE (83) MAT,83 RUE MADEMOISELLE,15ème Ardt,75115,2025-2026,Maternelle,48.8433586734679,2.300498599395484
RICHOMME (18) MAT,18 RUE RICHOMME,18ème Ardt,75118,2025-2026,Maternelle,48.886354513529774,2.3514285246115896
DARIUS MILHAUD (53) MAT,53 ALLEE DARIUS MILHAUD,19ème Ardt,75119,2025-2026,Maternelle,48.88468263111015,2.3908932428725764
L.M.NORDMANN (140) MAT,140 RUE LEON MAURICE NORDMANN,13ème Ardt,75113,2025-2026,Maternelle,48.83377350532776,2.3431821295641404
JEANNE D'ARC (96) MAT,96 RUE JEANNE D'ARC,13ème Ardt,75113,2025-2026,Maternelle,48.833702957209915,2.363384060953663
MORILLONS (40) MAT,40 RUE DES MORILLONS,15ème Ardt,75115,2025-2026,Maternelle,48.83227788053154,2.3014115504826536
ELISA LEMONNIER (15) MAT,15 RUE ELISA LEMONNIER,12ème Ardt,75112,2025-2026,Maternelle,48.8408390379134,2.3894443244272425
TRUFFAUT (15) POLY,15 RUE TRUFFAUT,17ème Ardt,75117,2025-2026,Polyvalent,48.88493024951725,2.322540242614652
MACDONALD (118) POLY,118 BOULEVARD MACDONALD,19ème Ardt,75119,2025-2026,Polyvalent,48.899088333111806,2.3813455643169386
BUFFAULT (34) POLY,34 RUE BUFFAULT,9ème Ardt,75109,2025-2026,Polyvalent,48.876430241183726,2.342510683558092
CHAMPAGNE (17) POLY,17 CITE CHAMPAGNE,20ème Ardt,75120,2025-2026,Polyvalent,48.85333032620816,2.4042089809108966
FRANC NOHAIN (9) POLY,9 RUE FRANC NOHAIN,13ème Ardt,75113,2025-2026,Polyvalent,48.821401135417254,2.3751822013075987
ALESIA (12) ELEM,12 RUE D'ALESIA,14ème Ardt,75114,2025-2026,Elémentaire,48.8277006434855,2.3339874505395874
OURCQ (105B) ELEM A,105 bis RUE DE L'OURCQ (ECOLE B),19ème Ardt,75119,2025-2026,Elémentaire,48.893558392617535,2.3750753793415953
