Trimestre;arrondissement;prix_m2
T1 1996;4;3030
T4 1995;4;3170
T4 2025;5;11620
T3 2025;5;11410
T2 2025;5;11350
T1 2025;5;11180
T4 2024;5;11070
T3 2024;5;11690
T2 2024;5;11650
T1 2024;5;11670
T4 2023;5;12000
T3 2023;5;12340
T2 2023;5;12550
T1 2023;5;12610
T4 2022;5;12710
T3 2022;5;12630
T2 2022;5;12920
T1 2022;5;12870
T4 2021;5;12650
T3 2021;5;12860
T2 2021;5;13070
T1 2021;5;12260
T4 2020;5;13480
T3 2020;5;12850
T2 2020;5;12800
T1 2020;5;12760
T4 2019;5;12590
T3 2019;5;12290
T2 2019;5;12220
T1 2019;5;11730
T4 2018;5;11600
T3 2018;5;11800
T2 2018;5;11290
T1 2018;5;11420
T4 2017;5;11100
T3 2017;5;11210
T2 2017;5;11010
T1 2017;5;11040
T4 2016;5;10720
T3 2016;5;10510
T2 2016;5;10390
T1 2016;5;9910
T4 2015;5;10300
T3 2015;5;9940
T2 2015;5;9850
T1 2015;5;9780
T4 2014;5;10540
T3 2014;5;9970
T2 2014;5;10110
T1 2014;5;9990
T4 2013;5;10050
T3 2013;5;10250
T2 2013;5;10210
T1 2013;5;10450
T4 2012;5;10370
T3 2012;5;10460
T2 2012;5;10610
T1 2012;5;10310
T4 2011;5;10180
T3 2011;5;10620
T2 2011;5;10240
T1 2011;5;9660
T4 2010;5;9230
T3 2010;5;9040
T2 2010;5;8380
T1 2010;5;8020
T4 2009;5;7850
T3 2009;5;7830
T2 2009;5;7950
T1 2009;5;7640
T4 2008;5;8340
T3 2008;5;8460
T2 2008;5;8190
T1 2008;5;7970
T4 2007;5;7720
T3 2007;5;7970
T2 2007;5;7570
T1 2007;5;7490
T4 2006;5;7040
T3 2006;5;7360
T2 2006;5;7030
T1 2006;5;6810
T4 2005;5;6850
T3 2005;5;6510
T2 2005;5;6170
T1 2005;5;6190
T4 2004;5;6220
T3 2004;5;6080
T2 2004;5;5800
T1 2004;5;5790
T4 2003;5;5450
T3 2003;5;5240
T2 2003;5;5220
T1 2003;5;5030
T4 2002;5;4750
T3 2002;5;4680
T2 2002;5;4560
T1 2002;5;4340
T4 2001;5;4470
T3 2001;5;4310
T2 2001;5;4210
T1 2001;5;4170
T4 2000;5;4090
T3 2000;5;3940
T2 2000;5;3850
T1 2000;5;3790
T4 1999;5;3580
T3 1999;5;3530
T2 1999;5;3340
T1 1999;5;3210
T4 1998;5;3270
T3 1998;5;3140
T2 1998;5;3060
T1 1998;5;3120
T4 1997;5;3140
T3 1997;5;3070
T2 1997;5;3030
T1 1997;5;3080
T4 1996;5;3060
T3 1996;5;3260
T2 1996;5;3090
T1 1996;5;3130
T4 1995;5;3240
T4 2025;6;13400
T3 2025;6;14010
T2 2025;6;13310
T1 2025;6;13270
T4 2024;6;13460
T3 2024;6;13600
T2 2024;6;13910
T1 2024;6;13550
T4 2023;6;13840
T3 2023;6;14060
T2 2023;6;14010
T1 2023;6;14580
T4 2022;6;14350
T3 2022;6;14410
T2 2022;6;14460
T1 2022;6;14110
T4 2021;6;13960
T3 2021;6;14020
T2 2021;6;13430
T1 2021;6;13820
T4 2020;6;13810
T3 2020;6;13780
T2 2020;6;13550
T1 2020;6;13750
T4 2019;6;13150
T3 2019;6;13400
T2 2019;6;13250
T1 2019;6;13060
T4 2018;6;12770
T3 2018;6;13000
T2 2018;6;12640
T1 2018;6;12600
T4 2017;6;12360
T3 2017;6;12020
T2 2017;6;12090
T1 2017;6;11730
T4 2016;6;11240
T3 2016;6;11250
T2 2016;6;11330
T1 2016;6;11370
T4 2015;6;11160
T3 2015;6;11560
T2 2015;6;12020
T1 2015;6;11430
T4 2014;6;11020
T3 2014;6;11810
T2 2014;6;11530
T1 2014;6;11780
T4 2013;6;12190
T3 2013;6;11740
T2 2013;6;12080
T1 2013;6;12030
T4 2012;6;12770
T3 2012;6;12450
T2 2012;6;12510
T1 2012;6;11930
T4 2011;6;12490
T3 2011;6;12220
T2 2011;6;11940
T1 2011;6;11500
T4 2010;6;10880
T3 2010;6;10330
T2 2010;6;9880
T1 2010;6;9480
T4 2009;6;8980
T3 2009;6;9430
T2 2009;6;9220
T1 2009;6;9950
T4 2008;6;9670
T3 2008;6;10160
T2 2008;6;9770
T1 2008;6;9820
T4 2007;6;9460
