X,Y,OBJECTID,c_ord,arro,qua,xbis,ybis,num,let,typ_voie,lib_voie,seq,sit,type,codact,ens,bio,surf,cc_id,cc_niv,niv47,niv18,niv8,niv2
656086.907700002,6859889.0116,5913,84957,12,46,656090.40583998,6859887.07175035,249,,AV,DAUMESNIL,2,R,C,CC103,AUDITION SANTE,0,1,0,,10401,104,3,1
652886.462700002,6863989.9965,5914,85068,10,39,652884.4403715,6863993.44761394,63,,BD,MAGENTA,2,R,C,CC301,OPTIC 2000,0,1,0,,10403,104,3,1
653256.299199998,6863863.5943,5915,85086,10,39,653256.2992,6863863.5943,27,,RUE,VINAIGRIERS,1,R,C,CB107,LOFT DESIGN BY,0,1,0,,10301,103,3,1
650192.571500003,6859587.2337,5917,85583,14,56,650192.5715,6859587.2337,142,,RUE,CHATEAU,1,A,C,SA205,HARMOZEN,0,1,0,,10802,108,4,1
647955.252099998,6861336.4699,5921,86121,15,59,647955.2521,6861336.4699,10,,RUE,BEATRIX DUSSANE,1,R,C,SA205,BIEN ETRE MASSAGE,0,1,0,,10802,108,4,1
645977.521200001,6860456.3047,5922,86207,16,61,645977.5212,6860456.3047,70,,RUE,CHARDON LAGACHE,1,A,C,SA514,ALYE PARUSSA,0,1,0,,10804,108,4,1
648244.103,6861043.3932,5924,86252,15,59,648244.103,6861043.3932,1,,RUE,TOURNUS,1,R,C,SA202,UN REGARD VIP,0,1,0,,10802,108,4,1
650560.880400002,6865843.4504,5927,86410,17,68,650560.8804,6865843.4504,41,,RUE,DAUTANCOURT,1,R,C,SA302,TAPISSIERS ATELIER ERVILAUR,0,1,0,,10803,108,4,1
648371.902199998,6865256.3031,5928,86482,17,66,648371.9022,6865256.3031,118,,AV,VILLIERS,1,R,C,CC101,SATELLITE,0,1,0,,10401,104,3,1
648878.382700004,6865844.7456,5929,86536,17,66,648878.3827,6865844.7456,9,,AV,PORTE D ASNIERES,1,A,C,CG105,MFC 17 YAMAHA,0,1,0,,11001,110,3,1
649905.025200002,6865046.4463,5930,86648,17,67,649902.73261013,6865049.72410897,9,,RUE,SAUSSURE,2,R,C,SA201,LESVSALONS PRIVES,0,1,0,,10802,108,4,1
652780.150799997,6865548.1306,5933,87136,18,71,652779.59549007,6865552.09186632,43,,RUE,STEPHENSON,2,R,C,SB302,WONEMA,0,1,0,,10903,109,4,1
655266.101199999,6863320.2226,5937,87846,20,79,655266.1012,6863320.2226,5,,RUE,SORBIER,1,R,C,CA111,CAVE MENILMONTANT,0,1,0,,10201,102,2,1
653910.378899999,6859711.3087,5939,88027,13,50,653910.3789,6859711.3087,192,,AV,FRANCE,1,R,C,CH201,LE QUAI,0,1,0,,11102,111,5,1
653237.066600002,6862015.8997,5940,88163,4,14,653235.65270082,6862012.1579238,26,,RUE,SEVIGNE,2,R,C,CB104,CLAUDIE PIERLOT,0,1,0,,10301,103,3,1
651853.222499996,6862265.8953,5941,88430,1,1,651853.2225,6862265.8953,36,,RUE,SAINT GERMAIN L AUXERROIS,1,A,C,SA514,INSTITUT GREGORY BATESON,0,1,0,,10804,108,4,1
653542.095700003,6858095.2216,5942,88490,13,50,653543.40589059,6858091.44226135,2,,VLA,ESTE,2,R,C,SB302,ADI,0,1,0,,10903,109,4,1
654195.071000002,6859247.2569,5943,88537,13,50,654203.04680236,6859233.38655117,128,,AV,FRANCE,5,R,C,CA105,MK2_,0,1,0,,10201,102,2,1
654144.233400002,6861827.5276,5945,88602,11,43,654144.2334,6861827.5276,20,,RUE,TAILLANDIERS,1,R,C,CA111,LA LOTTA,0,1,0,,10201,102,2,1
653046.0744,6862348.4178,5946,88667,3,11,653046.0744,6862348.4178,72,,RUE,VIEILLE DU TEMPLE,1,R,C,CB105,FRED PERRY,0,1,0,,10301,103,3,1
654761.966600001,6861907.543,5951,88881,11,43,654761.9666,6861907.543,164,,BD,VOLTAIRE,1,R,C,CD103,JE VEUX UN LIT.COM,0,1,0,,10501,105,3,1
