code_iris,LIBIRIS,GRD_QUART,LIBCOM,population,school_count,schools_per_1000,school_score
751051903,Val de Grâce 3,7510519.0,Paris 5e Arrondissement,2094.20242223975,5.0,2.38754379562435,14.325775722942602
751124512,Bel-Air 12,7511245.0,Paris 12e Arrondissement,3465.88139702047,16.0,4.616430329599504,27.69957378944677
751124619,Picpus 19,7511246.0,Paris 12e Arrondissement,3536.67042159084,22.0,6.2205400496730805,37.324576743060405
751145404,Parc de Montsouris 4,7511454.0,Paris 14e Arrondissement,1924.20257164234,15.0,7.795437040288976,46.77429704375153
751176611,Plaine Monceau 11,7511766.0,Paris 17e Arrondissement,2483.96890419736,24.0,9.661956701408496,57.97381602081333
751176713,Batignolles 13,7511767.0,Paris 17e Arrondissement,2491.70654773067,20.0,8.026627380425301,48.161488754401475
751176801,Épinettes 1,7511768.0,Paris 17e Arrondissement,2605.1551924857,18.0,6.909377242445722,41.4577478921583
751197605,Combat 5,7511976.0,Paris 19e Arrondissement,1792.03418494906,31.0,17.298777144076187,100.0
751207707,Belleville 7,7512077.0,Paris 20e Arrondissement,2382.11710493091,29.0,12.17404465127717,73.04688342677245
751207709,Belleville 9,7512077.0,Paris 20e Arrondissement,1111.251248875,20.0,17.99773005451957,100.0
751208005,Charonne 5,7512080.0,Paris 20e Arrondissement,1681.99422804896,22.0,13.07971194735849,78.48108178034526
751103709,Saint-Vincent de Paul 9,7511037.0,Paris 10e Arrondissement,1838.68682071402,27.0,14.684393065652719,88.10951324604424
751124603,Picpus 3,7511246.0,Paris 12e Arrondissement,1549.31992429032,6.0,3.872666907545486,23.236833464095852
751155702,Saint-Lambert 2,7511557.0,Paris 15e Arrondissement,1121.30736390606,18.0,16.052690439218406,96.31959145776872
751166118,Auteuil 18,7511661.0,Paris 16e Arrondissement,2162.39594082669,7.0,3.2371499908216994,19.42359542682661
751176506,Ternes 6,7511765.0,Paris 17e Arrondissement,1699.00059633342,10.0,5.885813119536747,35.316143248206664
751176716,Batignolles 16,7511767.0,Paris 17e Arrondissement,1576.13123514788,30.0,19.033948018411845,100.0
751186918,Grandes Carrières 18,7511869.0,Paris 18e Arrondissement,3222.78975207743,21.0,6.5160937000197645,39.09796214303645
751207708,Belleville 8,7512077.0,Paris 20e Arrondissement,2504.05535114936,32.0,12.779270228715998,76.67836692042277
751124706,,,,,6.0,,
751051804,Jardin des Plantes 4,7510518.0,Paris 5e Arrondissement,2055.46655963131,3.0,1.459522649951606,8.757449469233238
751072811,Gros Caillou 11,7510728.0,Paris 7e Arrondissement,1411.09907883401,2.0,1.4173349199920096,8.504314025699644
751135011,Gare 11,7511350.0,Paris 13e Arrondissement,2575.11907616514,25.0,9.70828892201363,58.251819298638644
751135114,Maison Blanche 14,7511351.0,Paris 13e Arrondissement,2178.30197548149,19.0,8.722390290170974,52.33621569328554
751155707,Saint-Lambert 7,7511557.0,Paris 15e Arrondissement,1842.67928535182,16.0,8.683008555634327,52.09991682514061
751155908,Grenelle 8,7511559.0,Paris 15e Arrondissement,2354.32264124193,11.0,4.6722568127694615,28.03454468244532
751187208,Chapelle 8,7511872.0,Paris 18e Arrondissement,2797.7973548195,13.0,4.646512363594216,27.880072456356235
751197611,Combat 11,7511976.0,Paris 19e Arrondissement,2627.70800893288,30.0,11.41679360797134,68.50321447617765
751207703,Belleville 3,7512077.0,Paris 20e Arrondissement,1797.18499109872,43.0,23.926307093023123,100.0
751083102,,,,,2.0,,
751197413,,,,,23.0,,
751010105,,,,,1.0,,
751051807,Jardin des Plantes 7,7510518.0,Paris 5e Arrondissement,1997.39911667642,8.0,4.0052085400496376,24.032111734880672
751104003,Hôpital Saint-Louis 3,7511040.0,Paris 10e Arrondissement,2079.55575251768,21.0,10.09831064859679,60.59203345192251
751114101,Folie Méricourt 1,7511141.0,Paris 11e Arrondissement,2592.89814959445,26.0,10.027389623486217,60.16649206431015
